draft_types
['Серебрянка']
['Генеральские Дачи']
['СОТ Зодчий-2']
['ДСК Заря']
['ДСК Хомус']
['СОПК Птицевод-3']
['дпк Надежда']
['Покровский тракт 7 км']
['СОТ Сапс']
['СОТ Водник']
['СОТ Нива']
['ДСК Сайылык']
['Восточный']
['Лунный']
['Дзержинец снт']
['Ручеёк ст']
['Взлётный']
['пос. Таёжный']
['Промышленная зона Пионерная']
['Племхоз']
['ДСК Кэскил']
['ДСК Манчаары']
['ДСК Дружба-2']
['ДСК Взлёт']
['Покровский тракт 10 км']
['СОТ Речевик']
['СОТ Фаза']
['СОТ Степной']
['СОТ Ионосфера']
['ДСК Жигули']
['СОТ Сырдах']
['СОТ Маяк']
['ДСК Булгунняхтах']
['ДСК Ландыш']
['Радуга ст']
['днт Мечта']
['днт Изумруд']
['Хатын-Юрях']
['ДСК Рассвет']
['2-я Дамба']
['ДСК Луч']
['СОТ САПС']
['СОТ Солнышко']
['ДСК Дружба-1']
['СОТ Виктория']
['Хатынг-Юряхское шоссе']
['ДСК Культура']
['СОТ Отрада']
['Сергеляхское шоссе 8 км']
['Хатынг-Юрях']
['ДСК Труд-1']
['Алаас-1']
['СОТ Птицевод']
['Комплекс перевалки']
['Полимер ст']
['Рассвет сот']
['подъезд к Тюмени']
['Коммунальник-1а тсн']
['Север сот']
['Кедровый-2 пос']
['сот Чистые пруды']
['Сайсарский']
['район Белое озеро']
['Хатынг-Юряхское шоссе 7 км']
['СОТ Тундра']
['ДСК']
['ДСК Спорт-2']
['ДСК Победа']
['ДСК Сосновка']
['ДСК Восход']
['Покровское шоссе 7 км']
['СОТ Рубин']
['ДСК Берёзка']
['ДСК Алаас-2']
['ДСК Полёт']
['ДСК Хайа-Анна']
['Авангард днт']
['Содружество днт']
['ст Криница']
['квартал застройки Прогресс-2']
['снт Архитектор']
['днт №240']
['днт Лужники']
['снт Экспериментальный']
['днт Горизонт']
['снт Сад №1 завода телевизоров ']
['ДСК Май']
['Родники снт']
['днт Изумрудный луг']
['Шахта имени 7 Ноября ст']
['ст №13']
['Тормоз гск']
['снт Русская Мамайка']
['ст Клён']
['Тишина днт']
['ст Лесхоз']
['снт Часовщик']
['микрорайон Времена года']
['с/о Золотая горка']
['Сибирь']
['Надежда']
['снт Спутник-Плющихинский']
['ДСК Механизатор']
['снт Вишнёвый сад']
['ст Ветеран ЖБИ']
['Сигнал с/о']
['снт Рябинка Обская']
['местность Таряты']
['Загородная резиденция днп']
['ст Яблоневый  сад']
['ст Прогресс']
['нст Прогресс']
['ст Лекарственник']
['ст Витаминовец']
['ст Лекраспромовец']
['Дружбы 5 ст']
['Заречное ст']
['Восход днт']
['ст Ротор']
['ст Мебельщик']
['с/т Ротор']
['Сарыаркинский']
['ст Пилот']
['Нефтяник с/о']
['ст Степное']
['ст Ромашка-2']
['ст Новые сады Сатурна']
['ст Сады Сатурна']
['Долина снт']
['Заканалье снт']
['снт Поляна']
['ст Лесная поляна-4']
['Зелёная роща днт']
['снт Геолог']
['днп Планета']
['Искра сот']
['нст Ромашка']
['днт Миловидово']
['СТ Машиностроитель 1']
['снт Учхоз']
['снт Дары природы']
['снт УВД Челябинской области']
['дк Заря']
['Малинки снт']
['Хатын-Юряхское шоссе']
['снт Сибирский мичуринец']
['снт Приобье']
['Новые сады снт']
['снт Гольфстрим-2']
['Вавиловец 2 ']
['Сергеляхское шоссе 11км']
['Тулунжа ст']
['СОТ Просвещение']
['Шахтёрский м-н']
['Звезда СНТ']
['Труженик ДНТ']
['Рассвет ДНТ']
['ст Золотой Пармен']
['Кулебовка']
['ст Опытник']
['ст Зелёная Долина']
['Каспий снт']
['Золотая осень ст']
['Дагестан снт']
['Кемпинг микрорайон']
['Урожай ст']
['Ветеран ст']
['Савино']
['Малиновка снт']
['снт Дорожник']
['Финансист СНТ']
['ст Машук-2']
['Машук-2 СНТ']
['Восход СНТ']
['х. Розы Люксембург']
['Водолечебница-Березка']
['ст Трубосталь']
['ст Крымское урочище']
['ст Дары природы']
"['мкр ""ККОЗ""']"
['Связист ст']
['3-й мкр']
['Энергия СТ']
['Лермонтовский разъезд']
['ст Юбилейный-2']
['ст Конструктор']
['кп Звёздный городок']
['Локомотив ст']
['Хумми']
['Крымское урочище']
['ст Стрелка-2']
['Коммунальник']
['Авангард снт']
['Восход ст']
['днт Малиновка']
['Приозёрное с/о']
['днт Прибрежное']
['Луговой']
['Мандарин']
['Спартак']
['Стройиндустрия']
['снт Солнышко-1']
['Черёмушки к/с']
['Коммунальник снт']
['днт Солнечное']
['20 лет победы снт']
['д. Плоское']
['Ягодка ст']
['днт Усадьба']
['днп Усадьба']
['ст Восточное']
['Малиновка сонт']
['коттеджный посёлок']
['ст Юг']
['снт Заречное']
['днт Заречное']
['ст Малый Ахун-2']
['ст Журналист']
['Оёр плюс днт']
['ст Метизник']
['снт Рябинка']
['снт Вишня']
['днт Светлана']
['Ленинский']
['Садгород']
['Зелёный сад снт']
['Находка снт']
['Ромодановские Дворики']
['снт Звездочка']
['Первореченский']
['Малинники']
['гора Отдельная']
['Коммунальник ст']
['ст Сталь']
['ст Агрус-1']
['ст Родничёк']
['Сельский строитель ст']
['дк Юбилейный']
['ст Полиграфист']
['дк Курган']
['Курган дк']
['дк Черешня']
['Новое Заполье']
['Домостроитель ст']
['днт Малые поляны']
['Сосновый м-он']
['снт Белочка']
['Малый Петербург днп']
['Поселье снт']
['Восток днт']
['днт Ветеран-5']
['ЛШУАПК снт']
['Исток днт']
['ст Степное им. Левина']
['ст Левада']
['ст Озёрный-1']
['ст Змеиная Горка']
['Алтаргана днт']
['Золотая осень снт']
['ст Трубник']
['дк Труботек']
['снт Верхняя Весна']
['снт Новая Весна']
['снт Весна']
['УЗК']
['Узка']
['днт Элитное-1']
['Овощевод-2 днт']
['Zona 1']
['Zona 6']
['Zona 8']
['Zona 3']
['Zona 2']
['Zona 9']
['Zona 5']
['Zona 4']
['Zona 7']
['Zona7']
['Звенящие кедры Тюмени с/о']
['Багульник снт']
['Берёзовка днп']
['Медик']
['Красногорская днп']
['ст Энергия']
['ст Рим-1']
['Центральный АО']
['Насыр-Кортский']
['Насыр-Кортский АО']
['Гамурзиевский АО']
['Плодовое с/о']
['днп Усадьба Марьино']
['снт Ветеран-7']
['Комбинат ст']
['Нива-82 снт']
['Талецкий снт']
['ст Маяк 2']
['ст Жилищник']
['Колос-2 с/о']
['снт Борисово-3']
['СТ Нефтяник']
['Аэропортовское шоссе']
['жснт Каштан']
['Спутник-2 снт']
['Монолит ст']
['Рахья снт']
['Проба снт']
['Терем снт']
['Kolossi Settlement']
['Kaimakli North']
['МВД ст']
['Агро Чубинское ст']
['Нижние сады']
['Русановские сады']
['Зоря ст']
['Вишенки ст']
['Пуща-Водица']
['Днепровский 2-й ст']
['Фронтовик ст']
['Днепровский 1-й ст']
['Зеленый Бор ст']
['Чернобилец ст']
['Чернобылец ст']
['Прогрес ст']
['Марии Демченко']
['Лиманчик']
['Слободка']
['Совиньон']
['Царское Село']
['Люстдорф']
['Черноморка']
['Жемчужный']
['7-й км']
['Новое Бугово']
['Черноморская Ривьера']
['411 батарея']
['Буревестник']
['Бугово']
"['ск ""Лиман""']"
['Agia Fylaxi']
['Нефтяник ст']
['Русановские сады ст']
['Чайка ст']
['Зелёный Бор ст']
['Дача Ковалевского']
['Малиновский']
['Кривая Балка']
['Дерибасовка']
['СК Ладья']
['Микрорайон Зелёный мыс']
['Сосновый Берег']
['Souni-Zanakia North']
['Viomichaniki Periochi Idaliou']
['Западно-Кольцевая']
['Зеленый бор ст']
['Жуляны']
['Оболонь ст']
['Хутор Редьки-1 ст']
['Солдатская Слободка']
['Чубаевка']
['Царское село']
['Зелёный мыс']
['Бортничи']
['ст Прогрес']
['хутор Фермерский']
['Ветеран']
['ст Маяк-2']
['Щеглово-2 снт']
['Минулово днп']
['Щеглово-1 снт']
['Энергия с/о']
['Здоровье снт']
['Солнечное снт']
['Венера снт']
['ст Коллективный садовод']
['Коллективный садовод ст']
['снт Юбилейное']
['Алюмино днт']
['Сияние днп']
['Омега днп']
['Золотая Роща днп']
['сдт РТМ']
['РТМ сдт']
['Сосновый бор снт']
['Сосновый бор снт ']
['днт Сибирская волость']
['им. Мичурина к/с']
['Берёзовая роща днп']
['Автоарматура снт']
['Труд снт']
['Взморье снт']
['Весна снт']
['Якорь снт']
['Парус снт']
['Химик снт']
['Электрон снт']
['Электрон  снт']
['Наука снт']
['ст Озёрный']
['Теремок СНТ']
['снт Луч-2']
['днт Бархатный берег']
['ст Энгергия']
['СОТ Кюн']
['Промузел на ТЭЦ-2']
['Марвело днп']
['ст Путеец-1']
['ст Путеец-2']
['снт Лазурит']
['киз Золотая антилопа']
['снт Сказка']
['ст Статистик']
['ст Былина']
['снт Киржач-1']
['днп Изумрудная Поляна']
['ст Деметра']
['дп Вишенка']
['снт Дружба ГПЗ-1']
['ст Бугорок']
['ст Росток']
['днт Урожай']
['снт Крутые берега']
['днп Данилово-2']
['днп Данилово-3']
['снт Электрик']
['снт Прибор']
['дп Рябинка-3']
['снт Виола']
['снт Берёзки']
['ст Кошенка']
['снт Ландыш']
['снт Дубки']
['снт Родник']
['снт Звёдный']
['Гостица']
['снт Мичурина']
['тис Гранат']
['ст Земляничка']
['снт Белые пески']
['снт Бассманное']
['снт Старт']
['днп Дружный']
['снт Гранат']
['снт Басманное']
['дп Малиновка']
['снт Машиностроитель-1']
['снт Электроизолятор']
['дп Малиновка ']
['Сиреневка снт']
['Земледелец снт']
['Саблинское снт']
['снт Новинки']
['ex Schiavetti']
['Barrio La Florida Alto']
['Barrio Los Quillayes']
['Barrio Bellavista de la Florida']
['interior']
['Barrio Trinidad']
['Ex-Fundo Los Quillayes']
['Villa Áreas Verdes']
['Quilicura']
['Barrio Lynch']
['Población La Cuco']
['Villa John Kennedy']
['Conchalí']
['Парнасское снт']
['Грифон снт']
['Щит снт']
['ст Метро']
['Универсал-1сдт']
['Универсал-1 сдт']
['ст Сибзаводовец']
['Импульс с/о']
['Артёмкино дп']
"['Полесье, экодеревня']"
['днт Мирный']
['снт Ветерок']
['Малинки кп']
['Форносово массив']
['Луч снт']
['Корвет снт']
['Лаврики снт']
['Южный склон днп']
['Кискеловское снт']
['Озёрное днт']
['Озон снт']
['Успех снт']
['СОТ Аграрник ']
['снт Тракторостроитель-1']
['Солнечный к/с']
['снт Ветеран труда']
['Шахтёр сдт']
['Химик ст']
['Железнодорожник сдт']
['снт Солнечный']
['спк Гелиос-4']
['Источник ст']
['ст Источник']
['Элемент снт']
['снт Элемент']
['Экология снт']
['Пирит-1 снт']
['КОР ст']
['Влага ст']
['ст Заводское']
['ст Сад Кубани']
['ст Сад кубани']
['ст ТЭЦ']
['ст КСК-1']
['нст Ивушка']
['снт Кубанское яблоко']
['ст Наука']
['Юбилейное снт']
['Наука ст']
['Вартемяги парк кп']
['снт Лесная поляна']
['Бобровое днп']
['снт Янтарь']
['Родник-1 ст']
['СНТ Лесник']
['Ясная поляна днт']
['снт Алюминий-1']
['жст Агро']
['ст Заполярник']
['жилая застройка завода Колющенко']
['Монамур']
['СНТ Михайловское']
['Аккорд с/о']
['снт Агро']
['Астра снт']
['днт Магистраль']
['Холмистое снт']
['Северное снт']
['Маганский тракт 2 км']
['снт Светлый']
['СНТ Феникс']
['Клён днт']
['Благодатное днт']
['ДСК Аргыс']
['снт Ангара']
['снт Ветеран-3']
['Малиновые вечера днп']
['снт Лира']
['Малиновые вечера  днп']
['Балтийская слобода днп']
['СНТ Янтарное']
['ДНТ Сибирь']
['СНТ Вагоностроитель']
['ст Восход-6']
['Стройдеталь снт']
['Севзапэлектросетьстрой снт']
['ст Энтузиаст']
['ДСК Спутник-2']
['ст Финансист']
['Коттеджный посёлок Первоцвет']
['М18']
['снт Прибрежное-2']
['квартал 11']
['Мебельщик-2 с/о']
['Пищевик снт']
['Строитель ст']
['Труженик спк']
['Мелиоратор ст']
['снт Ермаковское']
['Большие Колпаны снт']
['Таёжный пос.']
['ст Труд-1']
['днт Гидростроитель']
['Мичурина ст']
['Спутник ст']
['Талгинка ст']
['днт Хрустальное']
['Авиатор-34 спк']
['сот Связист']
['снт Водник']
['Тюльпан ст']
['Мотор ст']
['Перестройка ст']
['ст Перестройка ']
['ст Пререстройка ']
['ст Перестройка']
['Фрегат ст']
['Перестройка']
['Перечтройка ст']
['Прибор ст']
['Спутник-2']
['ст Радист']
['нст Восход']
['нст Прикубанье']
['Старые Черницы снт']
['Вахмистрово-Плюс днт']
['Черёмушки днт']
['Рассвет днт']
['Турист ст']
['Маяк ст']
['Перестройка-3 ст']
['Сепаратор ст']
['Подберёзовка днт']
['СОТ Сайдыы']
['снт Лазурное']
['тсн Загородное']
['снт Росстром']
['Русское поле с/о']
['нст Берёзка']
['Зверовод снт']
['стн Сад №2']
['Сургутское дпк']
['Весна с/о']
['дпк Ручей']
['днт Атлас']
['ДСК Стрела']
['Берёзка-88 с/о']
['ст Ягодное']
['снт Орлов Овраг']
['Нива-82 ст']
['СОТ Пламя']
['Изобилие с/о']
['Хогот днт']
['Долина днт']
['Old Town']
['Верховье-1 снт']
['Зелёный бор днт']
['Одон днт']
['Топаз с/о']
['новая часть']
['ст Садко']
['ст Лаванда']
['СНТ Сосновый Бор']
['СНТ Сосновый бор']
['СНТ Дружба']
['ст Ручеёк']
['СНТ Дзержинец']
['сдт Дубки']
['Северная верфь снт']
['ст Сапун-гора']
['Победа снт']
['2-й квартал']
['удалить']
['снт Медик-2']
['ст Морзаводец']
['ст Черноморец']
['ст Импульс Верх']
['ст Эра-2']
['ст Гавань']
['снт 4']
['снт Вскрышник']
['Мелиоратор снт']
['Прибрежный снт']
['снт Солевар']
['Долина ветров днп']
['снт Звезда']
['Энергостроитель с/о']
['Матмасский с/о']
['СТ Аксай']
['снт Садовод-2']
['урочище Увал']
['Солнечное-2 дп']
['Медик с/о']
['днт Каменский Оазис']
['Подмосковье с/о']
['Шахтер']
['днт Жаворонки']
['днт Орешек']
['снт Светофор']
['снт Яблочко']
['снт Зеленхоз']
['снт Связистов']
['снт Управление трамвая']
['снт Финансист']
['снт Коммунальник-1']
['днт Золотая Осень']
['снт Золотая Осень']
['снт Рыбник']
['снт Рында']
['снт Портовик']
['Джубга']
['снт Энтузиаст']
['снт Машиностроитель']
['ст Котлостроитель']
['снт Котлостроитель']
['снт Дачное-1']
['ст Металлург']
['Прохладное днт']
['Спектр СНТ']
['СОТ Дорожник']
['днт Солнечная Поляна']
['Алтаргаана днт']
['тсн Два ручья']
['Маяк']
['ст 16']
['Медик с\\о']
['Липники']
['ст Локомотив']
['днт им. 4 Пятилетки']
['ж/м Ключевой']
['ст 19']
['СТ Энегргостроитель']
['СТ Электростроитель']
['Негино СНТ']
['Рыжик СНТ']
['Раздолье снт']
['Рубин снт']
['Автомобилист СНТ']
['сдт Труд']
['Сосновый снт']
['Северная Двина СНТ']
['ст Победитель']
['Зори Севера СНТ']
['Иволга-2 днт']
['с/о Полиграфист']
['Маяк СНТ']
['днт Яблоньки']
"['днт ""Яблоньки""']"
['Дружба СНТ']
['Летние Вечера днп']
['27-й квартал']
['ДСК Университет']
['ст Путеец-3']
['Фрегат снт']
['Русь снт']
"['ст ""Строитель СКВО""']"
['ДПК «ЮЖНЫЙ ВЕТЕР»']
['ГРЭС-8 им. С.М. Кирова снт']
['СОНТ Сайдан']
['Владимирская слобода днп']
['ст Золотой гребешок']
['к/з Золотой гребешок']
['нст Каравай']
['ст Горизонт']
['ст Башмачок']
['ст Нива']
['ст Градостроитель']
['ст Калининец']
['снт Калининец']
['снт Грибки-2']
['Бригада-9 ст Золотой гребешок']
['Селенга-Тур днт']
['снт Лазурит-Тепличный']
['снт Тихий Дон-4']
['Заря днт']
['Жемчужина днт']
['индустриальный парк Масловский']
['Родничок снт']
['Пчёлка-2 ст']
['Иволга-2 ст']
['днт Терентьевское']
['снт Автодор']
['снт Мечта']
['СТ Мебельщик']
['ст Кавказ']
['снт Слава Кубани']
['нст Компрессор']
['ст Кубанские Зори']
['стн Труд']
['ст Труженик']
['нст Росинка']
['ст Роднички']
['нст Голубая Нива']
['ст Экспресс']
['ст Стекольщик']
['Каратауский район']
['Озёрное СТ']
['нст Кубань-2']
['ст Зелёный огонёк']
['ст Автомобилист-3']
['нст Кубаночка']
['нст Ветеран']
['нст Фруктовый']
['нст Бригантина']
['ст Кубань-1']
['ст Кубань']
['аул Тауйхабль']
['аул Тайухабль']
['днт Тепличное']
['Вита-Почтовая']
['ск Чистый']
['Верхнеборское с/о']
['спк Гелиос-2']
['снт Вилана']
['Снежный снт']
['снт Минерал']
['СТ Здоровье']
['снт Дубрава']
['снт Илга-3']
['снт Нептун']
['Anavargos']
['Благодатный днт']
['Дырносские дачи']
['Намский тракт 13 км']
['Берёзка ст']
['днт Два ручья']
['квартал 8']
['ст Пищевик']
['квартал 1']
['ст Кунпанова поляна']
['снт Железнодорожник-1']
['снт Дзержинец-1']
['снт Электросигнал']
['Лесной микрорайон']
['снт Расцвет']
['снт Коминтерновец-1']
['снт Садовод-строитель']
['урочище Выгорки днт']
['Зауралье снт']
['Иволга-24 снт']
['Раздолье-4 снт']
['Иволга с/о']
['Прудок носл']
['Эталон снт']
['Эталон ст']
['Гурульба днт']
['снт Вера']
['снт Путь Мичурина']
['снт Садовод-любитель']
['снт Текстильщик']
['Нижний Глядин']
['снт Объединение']
['снт Строитель МВО']
['снт завода Радиодеталей']
['Морская звезда']
['днт Знаменский']
['кп Знаменский']
['Рублевочка снт']
['днт Новознаменский']
['снт Заветы Мичурина']
['снт Завода Радиодеталей']
['снт Дон']
['Правовед днт']
['жск Лесной']
['снт Железнодорожник-2']
['снт Память Мичурина']
['снт Лесовод-2']
['снт Железнодорожник-6']
['Альтиевский АО']
['днт Дружный']
['Караман']
['снт Восовец-1']
"['ст ""Офицеров запаса и в отставке""']"
['тиз ГУВД Коробово']
['снт Прибрежное']
['снт Флора']
['Рублёвочка снт']
['Сухая речка сдт']
['снт Родничок']
['поле Вендербель']
['старая часть']
['Сосна днт']
['ст Вечерний звон']
['ст Камышовое']
['ст Сухой лог']
['ст Берёзовая Роща']
['ст Берёзовый']
['ст Пасечный ключ']
['ст Геотехника']
['ст Лиственка']
['ст Пшеничное']
['Mesogi']
['Centre']
['Экзотика снт']
['ст Голубка']
['с/о Энергетик']
['снт Рассвет-Октябрьский']
['Салют днт']
['Волна СНТ']
['снт Берёзка-2']
['снт Сибирский садовод']
['снт Урожай']
['днт Марлин']
['Родник СНТ']
['Помор СНТ']
['Автомобилист ст']
['Лайское СНТ']
['Иволга-24 ст']
['Радуга СНТ']
['2-й пос. Энергетиков']
['ст Малиновый звон']
['ст Малиноый звон']
['Космос-1 СНТ']
['Ситцовка']
"['ст. Тростенцово, снт Автомобилист']"
['местность Ус Хатын']
['Ермак днт']
['Окский берег']
['Надежда-ВАТТ снт']
['Ягринское СНТ']
['Судостроитель снт']
['Солнечный-2 снт']
['Покровский тракт 8 км']
['снт Одуванчик']
['днт Рыболов']
['снт Ромашка']
['снт Надежда-2']
['снт Надежда-3']
['снт Надежда-5']
['Калинушка СНТ']
['ст Голубое пламя']
['Енисейский мост']
['снт Отдых-1']
['Партизанский сад снт']
['Весенняя']
['ПК Луч Востока']
['Подземник тсн']
['Брусничное днп']
['снт Лососинка']
['днт Солнечный']
['Колос']
['снт Ромашки-2']
['снт Ромашки-3']
['снт Коммунальник']
['Бесовец']
['Масленица СНТ']
['снт Элитное-М']
['Солонцовский нанжуль снт']
['со Сад №2 Локомотивного депо']
['Дружный-1 снт']
['Горки-12 снт']
['нот Объединение']
['Пионер-2 снт']
['Энергостроитель снт']
['Полеологовское сп']
['снт Общепитовец-1']
['Колос-3 с/о']
['Катунинец СНТ']
['снт Нанжуль-3']
['Тепловик снт']
['Ветеран-1 снт']
['снт Элитное М']
['Черёмушки снт']
['Родник днт']
['снт Русь']
['снт Верхнемуллинский']
['Кедр снт']
['Зелёный Бор СНТ']
['Учитель ст']
['снт Чайка-2']
['СОТ Сэргэ']
['СОТ Изыскатель']
['Покровский тракт']
['Источник с/о']
['садоводческое товарищество «Старатель-3»']
['Берёзка СНТ']
['днт Пенсионер']
['снт Связист']
['снт Мукомол']
['снт Желдорфармация']
['снт Банковец']
['Соболь днт']
['Восход с/о']
['Ветеран с/о']
['Сосновый бор с/о']
['Лесовичок с/о']
['Мичуринец с/о']
['Юбилейный с/о']
['с/о']
['Возрождение с/о']
['Возрождение c/о']
['снт Озёрное']
['Садовод с/о']
['Автомобилист-2 с/о']
['Зоренька СНТ']
['Сибиряк с/о']
['Зоренька с/о']
['Виктория-3 с/о']
['снт Елочка-2']
['спк Ветерок-Раздолье-Росинка']
['Газовик с/о']
['Газовик c/о']
['Виктория-2 с/о']
['Виктория-2']
['Виктоия-2 с/о']
['Прибрежный с/о']
['Ромашка с/о']
['снт Колос-РЕМ']
['Дружба с/о']
['снт Электрон-2']
['Механизатор снт']
['Калинка с/о']
['Лукоморье сот №54']
['днп Благодать']
['нст Строитель-4']
['Виктория с/о']
['Виктория c/о']
['Природа с/о']
['Лахтинское СНТ']
['снт Речное']
['Заречное с/о']
['Родные просторы днт']
['Якорек с/о']
['снт Берёзовая роща']
"['днп ""Звёздный""']"
['Орион с/т']
['снт Книжник']
['сот Строитель']
['снт Речное-2']
['Баяра днт']
['Водник ст']
['53-й квартал']
['БРИЗ днт']
['снт Зелёное']
['Лесная поляна СНТ']
['снт Авиатор-3']
['Ручеек с/о']
['с/о Волна']
['Спутник-1']
['с/о Сокол-3']
['днт Гольфстрим']
['снт Авторемонтник']
['снт Ветерок-Раздолье-Росинка']
['дп Простоквашино']
['СОТ Хатын-Юрях-3']
['снт Строитель-2']
['3-КМЗ нтс']
['снт Комета']
['Родничок-5 ст']
['Заря СТ']
['снт им. 6 Пятилетки']
['днт Лесная Поляна']
['нот Восход']
['СТ Связист']
['снт Приангарье']
['снт им. И.В. Мичурина']
['снт Кооператор']
['снт Тракторостроитель-2']
['Наука с/о ']
['Наука с/о']
['снт Венера']
['снт Трубник']
['СТ Алма']
['снт Тепличное']
['Механизатор']
['Судоремонтник СНТ']
['Юрос СНТ']
['снт Жёлтые пески']
['Уемляночка СНТ']
['Пески снт']
['СТ Ягодка']
['снт Сосновая роща']
['снт Светлана']
['Радужный']
['снтсн Заря']
['Автомобилист с/о']
['ст Строитель-2']
['днт Защитник']
['Строитель СНТ']
['ст Ударник']
['Тайга СТ']
['Связист СНТ']
['Нанжуль-Солнечный']
['Молодежный днт']
['днт Молодёжный']
['Кикенка снт']
['Красные зори снт']
['Приморец снт']
['снт Звезда-2']
['снт Колобок']
['ст Домостроитель']
['снт Цитолог']
['Дноуглубитель ст']
['Сепаратор ст.']
"['с/о ""Ромашка""']"
['СОНТ Силис']
['снт Локомотив']
['снт Гвоздичка']
['снт  Оптовик']
['снт Оптовик']
['снт Труженик']
['снт Овощевод']
['снт Искатель']
['Дрожжевик снт']
['оз. Арахлей']
['Жасмин с/о']
['снт Липецкстрой']
['снт  Студеновское']
['снт Ферросплавщик']
['СОТ Чагда-Шестаковка']
['ст Мелиоратор-1']
['снт Мелиоратор-1']
['Мелиораторов']
['днт Приречный']
['снт 70 лет Октября']
['снт Красная Звезда']
['снт Берег Афипса']
['мкр 3']
"['СОТ ""Ягодка""']"
['сдт Приозёрное']
['сдт Рассвет']
['Отдых снт']
['снт 40 лет СА и ВМФ']
['нст Юбилей']
['ндт Радуга']
['ндт Дружба-14']
"['пдк ""Караульный""']"
['Торфяник-1 с/о']
['кп']
['снт Журавли']
['33-й квартал']
['Ласка с/о']
['днт Целинник']
['Магистраль СНТ']
['Коллективный сад №2 ВИР снт']
['Рябинушка СНТ']
['Ново-Иласское СНТ']
['Озёрное СНТ']
['У озера СНТ']
['Васюки СТ']
['Полянка СТ']
['Пушкин']
['снт Дамба']
['ст Прохлада']
['тсн Автохозяйство']
['Станкозавод сдт']
['Надежда СНТ']
['Сергеляхское шоссе']
['СОТ Чагда']
['снт Защитник']
['Дружба-2']
['Золотая осень-2 с/о']
['днт Славянка']
['Сакура кп']
['Яровское с/о']
['Золотая осень-3 с/о']
['снт Комбайностроителей']
['снт Заимка']
['Зелёный днт']
['снп Спутник']
['снт Спутник']
['Вишнёвый Сад']
['коллективный сад №4']
['коллективный сад №8']
['днт Синегорье']
['Вишенка с/о']
['Юбилейное с/о']
['снт Малинка']
['сот Чистые Пруды']
['снт Ласьва-1']
['снт Изаура']
['Изаура']
['снт Пегас']
['снт Экстра']
['снт Элитастрой']
['ст Швейник']
['Росинка-9 ст']
['Облепиха снт']
['тсн Удачное']
['пос. Совхоз Краснодарский']
['Мебельщик с/о']
['днт Нива']
['Подорожник с/о']
['Онега СНТ']
['Надежда-3 снт']
['снт Лесовод']
['снт Дружбы 1-2']
['ст Сутугинское']
['СТ Ветеран']
['С/о Крылья']
['ПКСТ Крылья']
['С/о Оптимист']
['ПКСТ Приозерная']
['ПКСТ Енбек']
['КГСХА №1 ст']
['д. Копытова']
['Агросад с/о']
['Садовод-любитель снт']
['снт Нива-1']
['жск Царское село']
['Селяне дно']
['Сибиряк днт']
['Кижеватовский с/с']
['Механизатор-2 днт']
['ст Бобринка']
['снт Птица']
['Наран днт']
['снт Лада']
['снт Электрометаллург']
['Поселье днт']
['снт Ёлочка-2']
['с. Большая Липовица']
['снт Дзержинец']
['Изумруд днт']
['Сад№1 АК-1263']
['снт Зелёный сад']
['СТ Машиностроитель']
['снт Мысы']
['снт мысы']
['СО Алма']
['Академия днт']
['Лесная полянка СНТ']
['Ельник СНТ']
['снт Шахтер']
['ст Промпроект']
['Прибрежный сот']
['Утешево']
['Уда днт']
['Сосновый Бор кп']
['Церковной стороны']
['Вокзальной стороны']
['снт Ветеран-9']
['Волгино']
['снт Восход ']
['днп Иркутный плёс']
['с/о Мелиоратор']
['снт Ермолаевка-2']
"['Стротель снт, вторая очередь']"
"['Строитель снт, вторая очередь']"
['Айболит снт']
['ДНТ Тихий Бор']
['Тихий Бор днт']
['Лира снт']
['Покровское снт']
['СОТ Высотник']
['снт Синегорье']
['Земляничка-3 снт']
['снт Ерепеты']
['Царицино кп']
['Янтарный днт']
['Сосновка днп']
['ПКСТ Акжол']
['ст Ясная поляна']
['Аннинское днп']
['снт Машхим']
['снт Сосновый Бор']
['снт Оазис']
['снт Звёздное']
['снт Аксёновское']
['снт Трикотажник']
['Шлиссельбуржец снт']
['Орешек снт']
[' Подземник тсн']
['Липки снт']
['Приозёрное снт']
['днт Рубин']
['Косомс-1 СНТ']
['снт Тракторосад-1']
['Автомобилист снт']
"['снт ""Дудкино-1""']"
['Гвоздика с/о']
['Солнечная поляна с/о']
['ВОИ) с/о']
['Луч с/о']
['Уршак ст']
['пжск Ветеран-Нагорный']
['снт Ёлочка']
['х. Воликов']
['сдт Платан']
['сдт Ореховая роща']
"['СОК ""Хозяюшка""']"
['сдт Остров']
['ул. 1-я Аэропортовская']
['Станица днт']
['Арли тсн']
['Сергеляхское шоссе 11 км']
['Берёзка-3 с/о']
['днт Казачий Хутор']
['СОТ Чернореченский']
['СОТ  Чернореченский']
['Янтарь днт']
['Халюта днт']
['снт Чесаовщик']
['Покровское днп']
['снт Меридиан']
['СОТ Восход-ЯСХИ']
['снт Джоуль']
['м-н Яблоневый']
['снт Станкостроитель-1']
['снт Бытовик']
['дп Давыдовка']
['снт Полёт-2']
['снт Локомотив-2']
['Тартус']
['Горка снт']
['снт Трубопрокатчик-1']
['снт Сигнал-1']
['квартал 4']
['Силикатчик снт']
['снт Урал']
['днт Огни Енисея']
['квартал 6']
['квартал 7']
['квартал 5']
['Василеостровский район снт']
['Волжанка снт']
['квартал 2']
['квартал 3']
['Черёмушки СНТ']
['Факел снт']
